pot_no,nh4,beta,bg_scam10,bg_sppa10,total_bg,site_frame,level,position,co2,salinity,comp,elevation,genotype,location,depth_seed,cohort,origin_lab,date_cloned_grp,date_planted_grp,weight_init,width_init,nodes_init,agb_scam,agb_sppa,dens_scam_live,dens_scam_dead,height_sppa,height_scam_tot,height_scam_grn,width_scam_mid,width_scam_bas,prop_twist,soil_to_pot,id,extinct,age
50,NA,NA,0.867,1.277,4.838,fresh_2,1,2,elevated,fresh,1,0.518,ca6,corn,20.75,corn_ancestral,utk,1,1,0.859,2.08,1,0.881,2.068,11,0,51.5,28,27.45,1.99,2.29,0,9,fresh_2_1_2,0,ancestral
51,NA,0.8830492735941717,5.399,NA,7.425,fresh_2,1,3,elevated,fresh,0,0.518,km2,kirkpatrick,0,kirk_modern,utk,2,1,2.045,3.97,1,4.026,0,16,3,NA,44.5,42.5625,3.0375,3.2125,0,6.5,fresh_2_1_3,0,modern
52,43.63068532,0.9551745059817757,2.925,NA,8.568999999999999,fresh_2,1,4,elevated,fresh,0,0.518,ca3,corn,18.75,corn_ancestral,utk,1,1,0.574,0.98,1,2.77,0,15,1,NA,43.666666666666664,41.7,2.74,3.22,0.13333333333333333,6.5,fresh_2_1_4,0,ancestral
53,52.21587156,0.8862653303764104,4.846,NA,6.716,fresh_2,1,5,elevated,fresh,0,0.518,ka6,kirkpatrick,16,kirk_ancestral,utk,1,1,0.13,1.2,1,3.8369999999999997,0,15,1,NA,50.833333333333336,48.166666666666664,3.466666666666667,3.78,0.06666666666666667,6,fresh_2_1_5,0,ancestral
54,NA,0.9261354006473734,6.633,NA,11.643,fresh_2,1,6,elevated,fresh,0,0.518,ca7,corn,20.75,corn_ancestral,utk,1,1,0.594,2.07,1,5.628,0,20,1,NA,52.975,49.175,3.12,3.3449999999999998,0.05,5,fresh_2_1_6,0,ancestral
55,NA,NA,1.005,2.774,6.54,fresh_2,1,7,elevated,fresh,1,0.518,cm7,corn,0,corn_modern,utk,1,1,0.443,1.02,1,0.687,4.229,5,0,65,40,38,2,2.14,0,6,fresh_2_1_7,0,modern
56,NA,0.921310863668431,5.416,NA,9.370000000000001,fresh_2,1,8,elevated,fresh,0,0.518,cm6,corn,0,corn_modern,utk,2,1,2.575,1.96,1,3.613,0,14,1,NA,52.785714285714285,49.17857142857143,3.192857142857143,3.4857142857142858,0.42857142857142855,5.5,fresh_2_1_8,0,modern
57,NA,0.9158623467759763,3.778,NA,6.556,fresh_2,2,1,elevated,fresh,0,0.4086666666666667,cm7,corn,0,corn_modern,utk,1,1,0.309,1.87,2,3.96,0,12,0,NA,50.208333333333336,48.541666666666664,3.575,3.658333333333333,0.3333333333333333,5.5,fresh_2_2_1,0,modern
58,NA,NA,1.868,1.917,5.828,fresh_2,2,2,elevated,fresh,1,0.4086666666666667,cm8,corn,0,corn_modern,nd,1,1,0.654,2.88,1,1.853,5.991,10,2,59,51.111111111111114,50.666666666666664,2.588888888888889,2.8555555555555556,0,5,fresh_2_2_2,0,modern
59,36.96755568,0.913787439461728,4.487,NA,7.719,fresh_2,2,3,elevated,fresh,0,0.4086666666666667,ka4,kirkpatrick,20,kirk_ancestral,nd,2,1,1.151,1.57,2,3.261,0,30,5,NA,41.55172413793103,40.13793103448276,1.8620689655172413,2.0068965517241377,0.1724137931034483,5,fresh_2_2_3,0,ancestral
60,NA,NA,1.177,1.653,4.755,fresh_2,2,4,elevated,fresh,1,0.4086666666666667,ca1,corn,20.75,corn_ancestral,utk,1,1,0.909,1.31,1,2.3169999999999997,3.957,10,1,69.5,42.72222222222222,42.111111111111114,2.6666666666666665,2.8777777777777778,0.4444444444444444,6,fresh_2_2_4,0,ancestral
61,NA,NA,4.681,0.862,10.291,fresh_2,2,5,elevated,fresh,1,0.4086666666666667,ca6,corn,20.75,corn_ancestral,utk,1,1,0.805,2.25,1,4.201,2.198,13,1,63,50.84615384615385,49.57692307692308,3.5,3.823076923076923,0.07692307692307693,5,fresh_2_2_5,0,ancestral
62,NA,0.9444789465769297,4.183,NA,12.001,fresh_2,2,6,elevated,fresh,0,0.4086666666666667,ca5,corn,18.75,corn_ancestral,utk,2,1,1.567,1.54,1,4.625,0,20,1,NA,41.925,41.175,3.155,3.4,0.1,4.5,fresh_2_2_6,0,ancestral
63,NA,0.9133775007327862,6.314,NA,10.286,fresh_2,2,7,elevated,fresh,0,0.4086666666666667,cm10,corn,0,corn_modern,nd,3,2,0.992,2.36,2,6.812,0,23,1,NA,50.78260869565217,49.34782608695652,3.1782608695652175,3.373913043478261,0,3.5,fresh_2_2_7,0,modern
