pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
216,cm6,corn,modern,0.29666666666666663,fresh,elevated,0,8.58574188722413,12.757000000000001
217,cm1,corn,modern,0.19899999999999995,fresh,elevated,1,7.295,7.668
218,km3,kirkpatrick,modern,0.19899999999999995,fresh,elevated,0,13.171999999999999,15.549
219,ca4,corn,ancestral,0.19899999999999995,fresh,elevated,1,8.125,9.017
220,cm9,corn,modern,0.19899999999999995,fresh,elevated,1,0,NA
221,ca3,corn,ancestral,0.19899999999999995,fresh,elevated,0,1.8539299462701035,0.815
222,cm3,corn,modern,0.19899999999999995,fresh,elevated,0,13.691917213031086,16.334
223,b3,blackwater,modern,0.19899999999999995,fresh,elevated,0,9.014999999999999,10.367
224,ca10,corn,ancestral,0.19899999999999995,fresh,elevated,0,0,NA
225,km6,kirkpatrick,modern,0.08933333333333329,fresh,elevated,0,0,NA
226,cm7,corn,modern,0.08933333333333329,fresh,elevated,0,0,NA
227,ka1,kirkpatrick,ancestral,0.08933333333333329,fresh,elevated,0,0,NA
228,ca3,corn,ancestral,0.08933333333333329,fresh,elevated,1,2.447,1.857
229,ca5,corn,ancestral,0.08933333333333329,fresh,elevated,0,6.266,4.6579999999999995
230,ca4,corn,ancestral,0.08933333333333329,fresh,elevated,1,0,NA
231,cm9,corn,modern,0.08933333333333329,fresh,elevated,0,0,NA
232,cm1,corn,modern,0.08933333333333329,fresh,elevated,1,0,NA
233,cm7,corn,modern,-0.01400000000000004,fresh,elevated,1,0,NA
234,ka6,kirkpatrick,ancestral,-0.01400000000000004,fresh,elevated,0,0,NA
235,ca2,corn,ancestral,-0.01400000000000004,fresh,elevated,1,0,NA
236,ca10,corn,ancestral,-0.01400000000000004,fresh,elevated,0,0,NA
237,cm5,corn,modern,-0.01400000000000004,fresh,elevated,0,0,NA
238,cm2,corn,modern,-0.01400000000000004,fresh,elevated,1,0,NA
239,km5,kirkpatrick,modern,-0.01400000000000004,fresh,elevated,0,0,NA
240,ca4,corn,ancestral,-0.01400000000000004,fresh,elevated,0,0,NA
241,ca4,corn,ancestral,0.5093333333333333,fresh,elevated,0,2.993,6.7620000000000005
242,ca5,corn,ancestral,0.5093333333333333,fresh,elevated,1,0.281,9.306
243,ka3,kirkpatrick,ancestral,0.5093333333333333,fresh,elevated,0,4.914,10.993
